VDOT,5K,10K,Halve marathon
40,00:24:08.000,00:50:03.000,01:50:59.000
41,00:23:38.000,00:49:01.000,01:48:40.000
42,00:23:09.000,00:48:01.000,01:46:27.000
43,00:22:41.000,00:47:04.000,01:44:20.000
44,00:22:15.000,00:46:09.000,01:42:17.000
45,00:21:50.000,00:45:16.000,01:40:20.000
46,00:21:25.000,00:44:25.000,01:38:27.000
47,00:21:02.000,00:43:36.000,01:36:38.000
48,00:20:39.000,00:42:50.000,01:34:53.000
49,00:20:18.000,00:42:04.000,01:33:12.000
50,00:19:57.000,00:41:21.000,01:31:35.000
51,00:19:36.000,00:40:39.000,01:30:02.000
52,00:19:17.000,00:39:59.000,01:28:31.000
53,00:18:58.000,00:39:20.000,01:27:04.000
54,00:18:40.000,00:38:42.000,01:25:40.000
55,00:18:22.000,00:38:06.000,01:24:18.000
56,00:18:05.000,00:37:31.000,01:23:00.000
